module_name,module_description,variable_name,variable_link,variable_description,variable_type
Modul_1A_householdroster, Module 1A - Household Roster,psu,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V1?name=psu,PSU,Continuous
Modul_1A_householdroster, Module 1A - Household Roster,hh,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V2?name=hh,Household No,Discrete
Modul_1A_householdroster, Module 1A - Household Roster,idcode,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V3?name=idcode,,
Modul_1A_householdroster, Module 1A - Household Roster,hhid,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V4?name=hhid,,
Modul_1A_householdroster, Module 1A - Household Roster,m1a_q02,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V5?name=m1a_q02,,
Modul_1A_householdroster, Module 1A - Household Roster,m1a_q03,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V6?name=m1a_q03,,
Modul_1A_householdroster, Module 1A - Household Roster,m1a_q04,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V7?name=m1a_q04,,
Modul_1A_householdroster, Module 1A - Household Roster,m1a_q05y,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V8?name=m1a_q05y,,
Modul_1A_householdroster, Module 1A - Household Roster,m1a_q05m,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V9?name=m1a_q05m,,
Modul_1A_householdroster, Module 1A - Household Roster,m1a_q06,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V10?name=m1a_q06,,
Modul_1A_householdroster, Module 1A - Household Roster,m1a_q07,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V11?name=m1a_q07,,
Modul_1A_householdroster, Module 1A - Household Roster,m1a_q08,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V12?name=m1a_q08,,
Modul_1A_householdroster, Module 1A - Household Roster,m1a_q09,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V13?name=m1a_q09,,
Modul_1A_householdroster, Module 1A - Household Roster,m1a_q10,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V14?name=m1a_q10,,
Modul_1A_householdroster, Module 1A - Household Roster,m1a_q11,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V15?name=m1a_q11,,
Modul_1A_householdroster, Module 1A - Household Roster,m1a_q12,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V16?name=m1a_q12,,
Modul_1A_householdroster, Module 1A - Household Roster,m1a_q13,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V17?name=m1a_q13,,
Modul_1A_householdroster, Module 1A - Household Roster,m1a_q14,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V18?name=m1a_q14,,
Modul_1A_householdroster, Module 1A - Household Roster,m1a_q15,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V19?name=m1a_q15,,
Modul_1A_householdroster, Module 1A - Household Roster,m1a_q16,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V20?name=m1a_q16,,
Modul_1A_householdroster, Module 1A - Household Roster,m1a_q17,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V21?name=m1a_q17,,
Modul_1A_householdroster, Module 1A - Household Roster,m1a_q18,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V22?name=m1a_q18,,
Modul_1A_householdroster, Module 1A - Household Roster,m1a_q19,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V23?name=m1a_q19,,
Modul_1A_householdroster, Module 1A - Household Roster,m1a_q20,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V24?name=m1a_q20,,
Modul_1A_householdroster, Module 1A - Household Roster,m1a_q21,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V25?name=m1a_q21,,
Modul_1A_householdroster, Module 1A - Household Roster,m1a_q22,https://microdata.worldbank.org/index.php/catalog/1970/variable/F1/V26?name=m1a_q22,,
